a	'a
chimneystack	'chim-ney-stack
chimneystacks	'chim-ney-stacks
chimneysweep	'chim-ney-sweep
chimneysweeper	'chim-ney-"sweep-er
chimneysweepers	'chim-ney-"sweep-ers
chimneysweeps	'chim-ney-sweeps
chimp	'chimp
chimpanzee	"chim-pan-'zee
chimpanzees	"chim-pan-'zees
chimps	'chimps
chin	'chin
china	'chi-na
China	'Chi-na
china clay	"chi-na-'clay
china-closet	'chi-na-"clos-et
china-closets	'chi-na-"clos-ets
Chinatown	'Chi-na-town
Chinatowns	'Chi-na-towns
chinaware	'chi-na-ware
chinchilla	chin-'chil-la
chinchillas	chin-'chil-las
chine	'chine
chines	'chines
Chinese	"Chin-'ese
Chinese chequers	"Chin-ese-'cheq-uers
Chinese lantern	"Chin-ese-'lan-tern
Chinese lanterns	"Chin-ese-'lan-terns
chink	'chink
Chink	'Chink
chinked	'chinked
chinking	'chink-ing
chinks	'chinks
Chinks	'Chinks
chinless	'chin-less
chinook	chi-'nook
chinooks	chi-'nooks
chins	'chins
chinstrap	'chin-strap
chinstraps	'chin-straps
chintz	'chintz
chinwag	'chin-wag
chin-wagging	'chin-"wag-ging
chip	'chip
chip at	'chip-at
chip away	"chip-a-'way
chipboard	'chip-board
chip in	"chip-'in
chipmunk	'chip-munk
chipmunks	'chip-munks
chipped	'chipped
chipped at	'chipped-at
chipped away	"chipped-a-'way
chipped in	"chipped-'in
Chippendale	'Chip-pen-dale
Chipper	'Chip-per
chippies	'chip-pies
chipping	'chip-ping
chipping at	'chip-ping-at
chipping away	"chip-ping-a-'way
chipping in	"chip-ping-'in
chippings	'chip-pings
chippy	'chip-py
chips	'chips
chips at	'chips-at
chips away	"chips-a-'way
chips in	"chips-'in
chiropodist	chi-'rop-o-dist
chiropodists	chi-'rop-o-dists
chiropody	chi-'rop-o-dy
chiropractic	"chi-ro-'prac-tic
chiropractor	'chi-ro-"prac-tor
chiropractors	'chi-ro-"prac-tors
chirp	'chirp
chirped	'chirped
chirpiest	'chirp-i-est
chirpily	'chirp-i-ly
chirpiness	'chirp-i-ness
chirping	'chirp-ing
chirps	'chirps
chirpy	'chirp-y
chirrup	'chir-rup
chirruped	'chir-ruped
chirruping	'chir-rup-ing
chirrups	'chir-rups
chis	'chis
chisel	'chis-el
chiselled	'chis-elled
chiselling	'chis-el-ling
chisels	'chis-els
chit	'chit
chitchat	'chit-chat
chits	'chits
chivalrous	'chiv-al-rous
chivalry	'chiv-al-ry
chive	'chive
chives	'chives
chivied	'chiv-ied
chivies	'chiv-ies
chivy	'chiv-y
chivying	'chiv-y-ing
chloric	'chlo-ric
chloride	'chlo-ride
chlorides	'chlo-rides
chlorinate	'chlo-rin-ate
chlorinated	'chlo-rin-at-ed
chlorinates	'chlo-rin-ates
chlorinating	'chlo-rin-at-ing
chlorination	"chlo-rin-'a-tion
chlorine	'chlo-rine
chloroform	'chlo-ro-form
chloroformed	'chlo-ro-formed
chloroforming	'chlo-ro-form-ing
chloroforms	'chlo-ro-forms
chlorophyll	'chlo-ro-phyll
choc	'choc
choc-bar	'choc-bar
choc-bars	'choc-bars
choc-ice	'choc-ice
choc-ices	'choc-ic-es
chock	'chock
chock-a-block	"chock-a-'block
chocked	'chocked
chock-full	chock-'full
chocking	'chock-ing
chocks	'chocks
chocolate	'choc-o-late
chocolates	'choc-o-lates
chocs	'chocs
choice	'choice
choicely	'choice-ly
choiceness	'choice-ness
choicer	'choic-er
choices	'choic-es
choicest	'choic-est
choke	'choke
choke back	"choke-'back
choked	'choked
choke-damp	'choke-damp
choked back	"choked-'back
choked down	"choked-'down
choked off	"choked-'off
choke down	"choke-'down
choke off	"choke-'off
choker	'chok-er
chokers	'chok-ers
chokes	'chokes
chokes back	"chokes-'back
chokes down	"chokes-'down
chokes off	"chokes-'off
choking	'chok-ing
choking back	"chok-ing-'back
choking down	"chok-ing-'down
choking off	"chok-ing-'off
choky	'chok-y
choler	'chol-er
cholera	'chol-er-a
choleric	'chol-er-ic
cholerically	'chol-er-i-cal-ly
cholesterol	cho-'les-ter-ol
chomp	'chomp
chomped	'chomped
chomping	'chomp-ing
chomps	'chomps
choose	'choose
chooses	'choos-es
choosiest	'choos-i-est
choosing	'choos-ing
choosy	'choos-y
chop	'chop
chop-chop	'chop-chop
chop down	"chop-'down
chopfallen	'chop-"fall-en
chophouse	'chop-house
chophouses	'chop-hous-es
chop off	"chop-'off
chopped	'chopped
chopped down	"chopped-'down
chopped off	"chopped-'off
chopper	'chop-per
choppers	'chop-pers
choppiest	'chop-pi-est
choppiness	'chop-pi-ness
chopping	'chop-ping
chopping down	"chop-ping-'down
chopping off	"chop-ping-'off
choppy	'chop-py
chops	'chops
chops down	"chops-'down
chops off	"chops-'off
chopstick	'chop-stick
chopsticks	'chop-sticks
chop suey	"chop-'su-ey
choral	'cho-ral
chorale	cho-'rale
chorales	cho-'rales
chord	'chord
chords	'chords
chore	'chore
choreographer	"cho-re-'og-ra-pher
choreographers	"cho-re-'og-ra-phers
choreography	"cho-re-'og-ra-phy
chores	'chores
chorine	'cho-rine
chorines	'cho-rines
chorister	'chor-is-ter
choristers	'chor-is-ters
chortle	'chor-tle
chortled	'chor-tled
chortles	'chor-tles
chorus	'cho-rus
chorused	'cho-rused
choruses	'cho-rus-es
chorus-girl	'cho-rus-girl
chorus-girls	'cho-rus-girls
chorusing	'cho-rus-ing
chose	'chose
chosen	'cho-sen
chow	'chow
chow chow	"chow-'chow
chow chows	"chow-'chows
chowder	'chow-der
chow mein	"chow-'mein
chows	'chows
Christ	'Christ
christen	'chris-ten
christened	'chris-tened
christenings	'chris-ten-ings
christens	'chris-tens
Christian	'Chris-tian
Christian era	"Chris-tian-'e-ra
Christianity	"Chris-ti-'an-i-ty
Christian name	'Chris-tian-name
Christian names	'Chris-tian-names
Christians	'Chris-tians
Christian Scientist	"Chris-tian-'Sci-en-tist
Christian Scientists	"Chris-tian-'Sci-en-tists
christlike	'christ-like
Christmas	'Christ-mas
Christmas-box	'Christ-mas-box
Christmas-boxes	'Christ-mas-box-es
Christmas card	'Christ-mas-card
Christmas cards	'Christ-mas-cards
Christmas cracker	"Christ-mas-'crack-er
Christmas crackers	"Christ-mas-'crack-ers
Christmases	'Christ-mas-es
Christmas Eve	"Christ-mas-'Eve
Christmas pudding	"Christ-mas-'pud-ding
Christmas puddings	"Christ-mas-'pud-dings
Christmas stocking	"Christ-mas-'stock-ing
Christmas stockings	"Christ-mas-'stock-ings
Christmastide	'Christ-mas-tide
Christmastime	'Christ-mas-time
Christmas-tree	'Christ-mas-tree
Christmas-trees	'Christ-mas-trees
chromatic	chro-'mat-ic
chromatically	chro-'mat-i-cal-ly
chrome	'chrome
chrome steel	"chrome-'steel
chromosome	'chro-mo-some
chromosomes	'chro-mo-somes
chronic	'chron-ic
chronically	'chron-i-cal-ly
chronicle	'chron-i-cle
chronicled	'chron-i-cled
chronicler	'chron-i-cler
chroniclers	'chron-i-clers
chronicles	'chron-i-cles
chronicling	'chron-i-cling
chronograph	'chron-o-graph
chronographs	'chron-o-graphs
chronological	"chron-o-'log-i-cal
chronologically	"chron-o-'log-i-cal-ly
chronologies	chro-'nol-o-gies
chronology	chro-'nol-o-gy
chronometer	chro-'nom-e-ter
chronometers	chro-'nom-e-ters
chrysalis	'chrys-a-lis
chrysalises	'chrys-a-lis-es
chrysanthemum	chry-'san-the-mum
chrysanthemums	chry-'san-the-mums
chub	'chub
chubbiest	'chub-bi-est
chubbiness	'chub-bi-ness
chubby	'chub-by
chubs	'chubs
chuck	'chuck
chucked	'chucked
chucked out	"chucked-'out
chucker-out	"chuck-er-'out
chuckers-out	"chuck-ers-'out
chucking	'chuck-ing
chucking out	"chuck-ing-'out
chuckle	'chuck-le
chuckled	'chuck-led
chuckles	'chuck-les
chuckling	'chuck-ling
chuck out	"chuck-'out
chucks	'chucks
chucks out	"chucks-'out
chug	'chug
chugged	'chugged
chugging	'chug-ging
chugs	'chugs
chukka	'chuk-ka
chukkas	'chuk-kas
chukker	'chuk-ker
chukkers	'chuk-kers
chum	'chum
chummed	'chummed
chummed up	"chummed-'up
chummiest	'chum-mi-est
chumming	'chum-ming
chumming up	"chum-ming-'up
chummy	'chum-my
chump	'chump
chumps	'chumps
chums	'chums
chums up	"chums-'up
chum up	"chum-'up
chunk	'chunk
chunkiest	'chunk-i-est
chunks	'chunks
chunky	'chunk-y
church	'church
churched	'churched
churches	'church-es
churchgoer	'church-"go-er
churchgoers	'church-"go-ers
churching	'church-ing
churchings	'church-ings
Church of England	"Church-of-'Eng-land
Church of Scotland	"Church-of-'Scot-land
churchwarden	"church-'ward-en
churchwardens	"church-'war-dens
churchyard	'church-yard
churchyards	'church-yards
churl	'churl
churlish	'churl-ish
churlishly	'churl-ish-ly
churlishness	'churl-ish-ness
churls	'churls
churn	'churn
churned	'churned
churned out	"churned-'out
churning	'churn-ing
churning out	"churn-ing-'out
churn out	"churn-'out
churns	'churns
churns out	"churns-'out
chute	'chute
chutes	'chutes
chutney	'chut-ney
chutneys	'chut-neys
cicada	ci-'ca-da
cicadas	ci-'ca-das
cicala	ci-'ca-la
cicalas	ci-'ca-las
cicatrice	'cic-a-trice
cicatrices	'cic-a-tric-es
cicatrix	'cic-a-trix
cicerone	"cic-e-'ro-ne
ciceroni	"ci-ce-'ro-ni
cider	'ci-der
ciderpress	'ci-der-press
ciderpresses	'ci-der-press-es
ciders	'ci-ders
cigar	ci-'gar
cigarette	"cig-a-'rette
cigarette-case	"cig-a-'rette-case
cigarette-cases	"cig-a-'rette-cas-es
cigarette-holder	"cig-a-'rette-"hold-er
cigarette-holders	"cig-a-'rette-"hold-ers
cigarette lighter	"cig-a-'rette-"light-er
cigarette lighters	"cig-a-'rette-"light-ers
cigarette-paper	"cig-a-'rette-"pa-per
cigarette-papers	"cig-a-'rette-"pa-pers
cigarettes	"cig-a-'rettes
cigars	ci-'gars
cigar-shaped	ci-'gar-shaped
C-in-C	"C-in-'C
cinch	'cinch
cinched	'cinched
cinches	'cinch-es
cinching	'cinch-ing
cinchona	cin-'cho-na
cinchonas	cin-'cho-nas
cincture	'cinc-ture
cinctures	'cinc-tures
cinder	'cin-der
Cinderella	"Cin-der-'el-la
Cinderellas	"Cin-der-'el-las
cinders	'cin-ders
cinder-track	'cin-der-track
cinder-tracks	'cin-der-tracks
cine	'cin-e
cine-camera	'cin-e-"cam-er-a
cine-cameras	'cin-e-"cam-er-as
cine-film	'cin-e-film
cine-films	'cin-e-films
cinema	'cin-e-ma
cinemas	'cin-e-mas
cinematic	"cin-e-'mat-ic
cinematograph	"cin-e-'mat-o-graph
cinematographs	"cin-e-'mat-o-graphs
cinematography	"cin-e-ma-'tog-ra-phy
cine-projector	'cin-e-pro-"jec-tor
cine-projectors	'cin-e-pro-"jec-tors
cinnamon	'cin-na-mon
cinquefoil	'cinque-foil
cinquefoils	'cinque-foils
cipher	'ci-pher
ciphered	'ci-phered
ciphering	'ci-pher-ing
ciphers	'ci-phers
circa	'cir-ca
circle	'cir-cle
circled	'cir-cled
circles	'cir-cles
circlet	'cir-clet
circlets	'cir-clets
circling	'cir-cling
circuit	'cir-cuit
circuit breaker	'cir-cuit-"break-er
circuit breakers	'cir-cuit-"break-ers
circuitous	cir-'cu-i-tous
circuitously	cir-'cu-i-tous-ly
circuits	'cir-cuits
circular	'cir-cu-lar
circularize	'cir-cu-lar-ize
circularized	'cir-cu-lar-ized
circularizes	'cir-cu-lar-iz-es
circularizing	'cir-cu-lar-iz-ing
circulars	'cir-cu-lars
circular saw	"cir-cu-lar-'saw
circular saws	"cir-cu-lar-'saws
circulate	'cir-cu-late
circulated	'cir-cu-lat-ed
circulates	'cir-cu-lates
circulating	'cir-cu-lat-ing
circulating libraries	'cir-cu-lat-ing-"li-brar-ies
circulating library	'cir-cu-lat-ing-"li-brar-y
circulation	"cir-cu-'la-tion
circulations	"cir-cu-'la-tions
circulatory	"cir-cu-'la-to-ry
circulatory system	'cir-cu-la-to-ry-"sys-tem
circulatory systems	'cir-cu-la-to-ry-"sys-tems
circumcise	'cir-cum-cise
circumcised	'cir-cum-cised
circumcises	'cir-cum-cis-es
circumcising	'cir-cum-cis-ing
circumcision	"cir-cum-'ci-sion
circumcisions	"cir-cum-'ci-sions
circumference	cir-'cum-fer-ence
circumferences	cir-'cum-fer-enc-es
circumferential	cir-"cum-fer-'en-tial
circumflex	'cir-cum-flex
circumflexes	'cir-cum-flex-es
circumlocution	"cir-cum-lo-'cu-tion
circumlocutions	"cir-cum-lo-'cu-tions
circumlocutory	"cir-cum-'loc-u-to-ry
circumnavigate	"cir-cum-'nav-i-gate
circumnavigated	"cir-cum-'nav-i-gat-ed
circumnavigates	"cir-cum-'nav-i-gates
circumnavigating	"cir-cum-'nav-i-gat-ing
circumnavigation	"cir-cum-"nav-i-'ga-tion
circumnavigations	"cir-cum-"nav-i-'ga-tions
circumscribe	'cir-cum-scribe
circumscribed	'cir-cum-scribed
circumscribes	'cir-cum-scribes
circumscribing	'cir-cum-scrib-ing
circumscription	"cir-cum-'scrip-tion
circumscriptions	"cir-cum-'scrip-tions
circumspect	'cir-cum-spect
circumspection	"cir-cum-'spec-tion
circumspectly	'cir-cum-spect-ly
circumstance	'cir-cum-stance
circumstances	'cir-cum-stanc-es
circumstantial	"cir-cum-'stan-tial
circumstantially	"cir-cum-'stan-tial-ly
circumvent	"cir-cum-'vent
circumvented	"cir-cum-'vent-ed
circumventing	"cir-cum-'vent-ing
circumvention	"cir-cum-'ven-tion
circumvents	"cir-cum-'vents
circus	'cir-cus
circuses	'cir-cus-es
cirque	'cirque
cirques	'cirques
cirrhosis	cir-'rho-sis
cirrus	'cir-rus
cistern	'cis-tern
cisterns	'cis-terns
citadel	'cit-a-del
citadels	'cit-a-dels
citation	ci-'ta-tion
citations	ci-'ta-tions
cite	'cite
cited	'cit-ed
cites	'cites
cities	'cit-ies
citing	'cit-ing
citizen	'cit-i-zen
citizenry	'cit-i-zen-ry
citizens	'cit-i-zens
citizenship	'cit-i-zen-ship
citric	'cit-ric
citric acid	"cit-ric-'ac-id
citron	'cit-ron
citrons	'cit-rons
citrous	'cit-rous
citrus	'cit-rus
citruses	'cit-rus-es
citrus tree	'cit-rus-tree
citrus trees	'cit-rus-trees
city	'cit-y
City	'Cit-y
city hall	"cit-y-'hall
city halls	"cit-y-'halls
city-state	"cit-y-'state
city-states	"cit-y-'states
civet	'civ-et
civet-cat	'civ-et-cat
civet-cats	'civ-et-cats
civets	'civ-ets
civic	'civ-ic
civics	'civ-ics
civil	'civ-il
civil defence	"civ-il-de-'fence
civil engineering	"civ-il-en-gi-'neer-ing
civilian	ci-'vil-ian
civilians	ci-'vil-ians
civilities	ci-'vil-i-ties
civility	ci-'vil-i-ty
civilization	"civ-i-li-'za-tion
civilizations	"civ-il-i-'za-tions
civilize	'civ-i-lize
civilized	'civ-i-lized
civilizes	'civ-i-liz-es
civilizing	'civ-i-liz-ing
civil law	"civ-il-'law
civil liberties	"civ-il-'lib-er-ties
civil liberty	"civ-il-'lib-er-ty
civil list	'civ-il-list
civil lists	'civ-il-lists
civilly	'civ-il-ly
civil marriage	"civ-il-'mar-riage
civil marriages	"civ-il-'mar-riag-es
civil rights	"civ-il-'rights
civil servant	"civ-il-'serv-ant
civil servants	"civ-il-'serv-ants
civil service	"civ-il-'serv-ice
civil services	"civ-il-'serv-ic-es
civil war	"civ-il-'war
civil wars	"civ-il-'wars
civvies	'civ-vies
civvy street	'civ-vy-street
clack	'clack
clacked	'clacked
clacking	'clack-ing
clacks	'clacks
clad	'clad
claim	'claim
claimant	'claim-ant
claimants	'clai-mants
claimed	'claimed
claiming	'claim-ing
claims	'claims
clairvoyance	clair-'voy-ance
clairvoyant	clair-'voy-ant
clairvoyants	clair-'voy-ants
clam	'clam
clambake	'clam-bake
clambakes	'clam-bakes
clamber	'clam-ber
clambered	'clam-bered
clambering	'clam-ber-ing
clambers	'clam-bers
clammed	'clammed
clammed up	"clammed-'up
clammiest	'clam-mi-est
clammily	'clam-mi-ly
clamminess	'clam-mi-ness
clamming	'clam-ming
clamming up	"clam-ming-'up
clammy	'clam-my
clamorous	'clam-or-ous
clamorously	'clam-or-ous-ly
clamour	'clam-our
clamoured	'clam-oured
clamouring	'clam-our-ing
clamours	'clam-ours
clamp	'clamp
clampdown	'clamp-down
clamp down	"clamp-'down
clampdowns	'clamp-downs
clamped	'clamped
clamped down	"clamped-'down
clamping	'clamp-ing
clamping down	"clamp-ing-'down
clamps	'clamps
clamps down	"clamps-'down
clams	'clams
clamshell	'clam-shell
clamshells	'clam-shells
clams up	"clams-'up
clam up	"clam-'up
clan	'clan
clandestine	clan-'des-tine
clandestinely	clan-'des-tine-ly
clandestineness	clan-'des-tine-ness
clang	'clang
clanged	'clanged
clanger	'clang-er
clangers	'clang-ers
clanging	'clang-ing
clangorous	'clang-or-ous
clangorously	'clang-or-ous-ly
clangour	'clang-our
clangs	'clangs
clank	'clank
clanked	'clanked
clanking	'clank-ing
clanks	'clanks
clannish	'clan-nish
clannishly	'clan-nish-ly
clannishness	'clan-nish-ness
clans	'clans
clansman	'clans-man
clansmen	'clans-men
clap	'clap
clapboard	'clap-board
clapboards	'clap-boards
clap on	"clap-'on
clapped	'clapped
clapped on	"clapped-'on
clapped-out	"clapped-'out
clapper	'clap-per
clapperboard	'clap-per-board
clapperboards	'clap-per-boards
clappers	'clap-pers
clapping	'clap-ping
clapping on	"clap-ping-'on
claps	'claps
claps on	"claps-'on
claptrap	'clap-trap
claque	'claque
claques	'claques
claret	'clar-et
clarification	"clar-i-fi-'ca-tion
clarifications	"clar-i-fi-'ca-tions
clarified	'clar-i-fied
clarifies	'clar-i-fies
clarify	'clar-i-fy
clarifying	'clar-i-fy-ing
clarinet	"clar-i-'net
clarinets	"clar-i-'nets
clarinettist	"clar-i-'net-tist
clarinettists	"clar-i-'net-tists
clarity	'clar-i-ty
clartiest	'clar-ti-est
clarts	'clarts
clarty	'clar-ty
clash	'clash
clashed	'clashed
clashes	'clash-es
clashing	'clash-ing
clasp	'clasp
clasped	'clasped
clasping	'clasp-ing
clasp-knife	'clasp-knife
clasp-knives	'clasp-knives
clasps	'clasps
class	'class
class-conscious	"class-'con-scious
class-consciousness	"class-'con-scious-ness
classed	'classed
classes	'class-es
class-feeling	'class-"feel-ing
class-fellow	'class-"fel-low
class-fellows	'class-"fel-lows
classic	'clas-sic
classical	'clas-si-cal
classically	'clas-si-cal-ly
classicist	'clas-si-cist
classicists	'clas-si-cists
classics	'clas-sics
classiest	'class-i-est
classifiable	'clas-si-fi-a-ble
classification	"clas-si-fi-'ca-tion
classifications	"clas-si-fi-'ca-tions
classified	'clas-si-fied
classified ad	"clas-si-fied-'ad
classified ads	"clas-si-fied-'ads
classifies	'clas-si-fies
classify	'clas-si-fy
classifying	'clas-si-fy-ing
classing	'class-ing
classless	'class-less
classlessness	'class-less-ness
class-list	'class-list
class-lists	'class-lists
classmate	'class-mate
classmates	'class-mates
classroom	'class-room
classrooms	'class-rooms
class struggle	"class-'strug-gle
class war	"class-'war
class-warfare	"class-'war-fare
classy	'class-y
clatter	'clat-ter
clattered	'clat-tered
clattering	'clat-ter-ing
clatters	'clat-ters
clause	'clause
clauses	'claus-es
claustrophobic	"claus-tro-'pho-bic
claustrophobics	"claus-tro-'pho-bics
clave	'clave
clavichord	'clav-i-chord
clavichords	'clav-i-chords
clavicle	'clav-i-cle
clavicles	'clav-i-cles
claw	'claw
claw-back	'claw-back
claw back	"claw-'back
clawed	'clawed
clawed back	"clawed-'back
claw-hammer	'claw-"ham-mer
claw-hammers	'claw-"ham-mers
clawing	'claw-ing
clawing back	"claw-ing-'back
claws	'claws
claws back	"claws-'back
clay	'clay
clayey	'clay-ey
claymore	'clay-more
claymores	'clay-mores
clay pigeon	"clay-'pi-geon
clay pigeons	"clay-'pi-geons
clean	'clean
clean-bowled	"clean-'bowled
clean-cut	"clean-'cut
clean down	"clean-'down
cleaned	'cleaned
cleaned down	"cleaned-'down
cleaned out	"cleaned-'out
cleaned up	"cleaned-'up
cleaner	'clean-er
cleaners	'clean-ers
cleaner's	'clean-er's
cleanest	'clean-est
cleaning	'clean-ing
cleaning down	"clean-ing-'down
cleaning ladies	'clean-ing-"la-dies
cleaning lady	'clean-ing-"la-dy
cleaning out	"clean-ing-'out
cleaning up	"clean-ing-'up
cleaning woman	'clean-ing-"wom-an
cleaning women	'clean-ing-"wom-en
cleanliest	'clean-li-est
clean-limbed	"clean-'limbed
cleanliness	'clean-li-ness
clean-living	"clean-'liv-ing
cleanly	'clean-ly
cleanness	'clean-ness
clean out	"clean-'out
cleans	'cleans
cleans down	"cleans-'down
cleanse	'cleanse
cleansed	'cleansed
cleanser	'cleans-er
cleansers	'cleans-ers
cleanses	'cleans-es
clean-shaven	"clean-'shav-en
cleansing	'cleans-ing
cleans out	"cleans-'out
cleans up	"cleans-'up
cleanup	'clean-up
clean up	"clean-'up
cleanups	'clean-ups
clear	'clear
clearance	'clear-ance
clearances	'clear-anc-es
clearance sale	'clear-ance-sale
clearance sales	'clear-ance-sales
clear away	"clear-a-'way
clear-cut	"clear-'cut
cleared	'cleared
cleared away	"cleared-a-'way
cleared off	"cleared-'off
cleared up	"cleared-'up
clearer	'clear-er
clearer-headed	"clear-er-'head-ed
clearer-sighted	"clear-er-'sight-ed
clearest	'clear-est
clearest-headed	"clear-est-'head-ed
clearest-sighted	"clear-est-'sight-ed
clear-headed	"clear-'head-ed
clear-headedly	"clear-'head-ed-ly
clear-headedness	"clear-'head-ed-ness
clearing	'clear-ing
clearing away	"clear-ing-a-'way
clearinghouse	'clear-ing-house
clearinghouses	'clear-ing-hous-es
clearing off	"clear-ing-'off
clearings	'clear-ings
clearing up	"clear-ing-'up
clearly	'clear-ly
clearness	'clear-ness
clear off	"clear-'off
clearout	'clear-out
clears	'clears
clears away	"clears-a-'way
clear-sighted	"clear-'sight-ed
clears off	"clears-'off
clears up	"clears-'up
clear up	"clear-'up
clearway	'clear-way
clearways	'clear-ways
cleat	'cleat
cleats	'cleats
cleavage	'cleav-age
cleavages	'cleav-ag-es
cleave	'cleave
cleaved	'cleaved
cleaved to	'cleaved-to
cleaver	'cleav-er
cleavers	'cleav-ers
cleaves	'cleaves
cleaves to	'cleaves-to
cleave to	'cleave-to
cleaving	'cleav-ing
cleaving to	'cleav-ing-to
clef	'clef
clefs	'clefs
cleft	'cleft
cleft palate	"cleft-'pal-ate
cleft palates	"cleft-'pal-ates
clefts	'clefts
clematis	'clem-a-tis
clemency	'clem-en-cy
clement	'clem-ent
Clements	'Clem-ents
clench	'clench
clenched	'clenched
clenches	'clench-es
clenching	'clench-ing
clerestories	'clere-"sto-ries
clerestory	'clere-"sto-ry
clergy	'cler-gy
clergyman	'cler-gy-man
clergymen	'cler-gy-men
cleric	'cler-ic
clerical	'cler-i-cal
clerically	'cler-i-cal-ly
clerics	'cler-ics
clerihew	'cler-i-hew
clerihews	'cler-i-hews
clerk	'clerk
clerked	'clerked
clerking	'clerk-ing
clerk of works	"clerk-of-'works
clerks	'clerks
clerks of works	"clerks-of-'works
clever	'clev-er
clever dick	'clev-er-dick
clever dicks	'clev-er-dicks
cleverer	'clev-er-er
cleverest	'clev-er-est
cleverly	'clev-er-ly
cleverness	'clev-er-ness
clew	'clew
clewed	'clewed
clewing	'clew-ing
clews	'clews
click	'click
clicked	'clicked
clickety-click	"click-e-ty-'click
clicking	'click-ing
clicks	'clicks
client	'cli-ent
clientele	"cli-en-'tele
clients	'cli-ents
client state	"cli-ent-'state
client states	"cli-ent-'states
cliff	'cliff
Cliff	'Cliff
cliffhanger	'cliff-"hang-er
cliffhangers	'cliff-"hang-ers
cliffs	'cliffs
climacteric	cli-'mac-ter-ic
climacterics	cli-'mac-ter-ics
climactic	cli-'mac-tic
climate	'cli-mate
climates	'cli-mates
climatic	cli-'mat-ic
climatical	cli-'mat-i-cal
climatically	cli-'mat-i-cal-ly
climatology	"cli-ma-'tol-o-gy
climax	'cli-max
climax communities	'cli-max-com-"mu-ni-ties
climax community	'cli-max-com-"mu-ni-ty
climaxed	'cli-maxed
climaxes	'cli-max-es
climaxing	'cli-max-ing
climb	'climb
climb-down	'climb-down
climb down	"climb-'down
climb-downs	'climb-downs
climbed	'climbed
climbed down	"climbed-'down
climber	'climb-er
climbers	'climb-ers
climbing	'climb-ing
climbing down	"climb-ing-'down
climbs	'climbs
climbs down	"climbs-'down
clime	'clime
climes	'climes
clinch	'clinch
clinched	'clinched
clincher	'clinch-er
clinchers	'clinch-ers
clinches	'clinch-es
clinching	'clinch-ing
cline	'cline
clines	'clines
cling	'cling
clingiest	'cling-i-est
clinging	'cling-ing
clings	'clings
clingy	'cling-y
clinic	'clin-ic
clinical	'clin-i-cal
clinically	'clin-i-cal-ly
clinical thermometer	"clin-i-cal-ther-'mom-e-ter
clinical thermometers	"clin-i-cal-ther-'mom-e-ters
clinics	'clin-ics
clink	'clink
clinked	'clinked
clinker	'clink-er
clinker-built	"clink-er-'built
clinkers	'clink-ers
clinkety-clank	"clink-e-ty-'clank
clinking	'clink-ing
clinks	'clinks
clip	'clip
clipboard	'clip-board
clipboards	'clip-boards
clip-joint	'clip-joint
clip-joints	'clip-joints
clip-on	'clip-on
clipped	'clipped
clipper	'clip-per
clippers	'clip-pers
clippie	'clip-pie
clippies	'clip-pies
clipping	'clip-ping
clippings	'clip-pings
clips	'clips
clique	'clique
cliques	'cliques
cliquey	'cli-quey
cliquiest	'cli-qui-est
cliquish	'cli-quish
cliquishness	'cli-quish-ness
clitoris	'clit-o-ris
clitorises	'clit-o-ris-es
cloak	'cloak
cloak-and-dagger	"cloak-and-'dag-ger
cloaked	'cloaked
cloaking	'cloak-ing
cloakroom	'cloak-room
cloakrooms	'cloak-rooms
cloaks	'cloaks
clobber	'clob-ber
clobbered	'clob-bered
clobbering	'clob-ber-ing
clobbers	'clob-bers
cloche	'cloche
cloches	'cloch-es
clock	'clock
clock-dial	'clock-"di-al
clock-dials	'clock-"di-als
clocked	'clocked
clocked in	"clocked-'in
clocked off	"clocked-'off
clocked on	"clocked-'on
clocked out	"clocked-'out
clocked up	"clocked-'up
clock-face	'clock-face
clock-faces	'clock-fac-es
clock-golf	"clock-'golf
clock in	"clock-'in
clocking	'clock-ing
clocking in	"clock-ing-'in
clocking off	"clock-ing-'off
clocking on	"clock-ing-'on
clocking out	"clock-ing-'out
clocking up	"clock-ing-'up
clock off	"clock-'off
clock on	"clock-'on
clock out	"clock-'out
clocks	'clocks
clocks in	"clocks-'in
clocks off	"clocks-'off
clocks on	"clocks-'on
clocks out	"clocks-'out
clocks up	"clocks-'up
clock-tower	'clock-"tow-er
clock-towers	'clock-"tow-ers
clock up	"clock-'up
clock-watcher	'clock-"watch-er
clock-watchers	'clock-"watch-ers
clock-watching	'clock-"watch-ing
clockwise	'clock-wise
clockwork	'clock-work
clod	'clod
cloddish	'clod-dish
cloddishly	'clod-dish-ly
cloddishness	'clod-dish-ness
clodhopper	'clod-"hop-per
clodhoppers	'clod-"hop-pers
clods	'clods
clog	'clog
clog-dance	'clog-dance
clog dancer	'clog-"danc-er
clog dancers	'clog-"danc-ers
clog-dances	'clog-danc-es
clog dancing	'clog-"danc-ing
clogged	'clogged
cloggiest	'clog-gi-est
clogging	'clog-ging
cloggy	'clog-gy
clogs	'clogs
cloister	'clois-ter
cloistered	'clois-tered
cloistering	'clois-ter-ing
cloisters	'clois-ters
clone	'clone
clones	'clones
clop	'clop
clopped	'clopped
clopping	'clop-ping
clops	'clops
close	'close
close call	"close-'call
close calls	"close-'calls
close-cropped	"close-'cropped
close-cut	"close-'cut
closed	'closed
closed book	"closed-'book
closed books	"closed-'books
